 SPEAKER   |   GENDER   | PARTITION  |  MINUTES   |  BOOK ID   |             TITLE              |            CHAPTER            
   8882    |     M      |   train    |   17.287   |   10139    |        Isla del Tesoro         |  Capítulo XIV El primer golpe 
   8882    |     M      |   train    |   16.316   |   10139    |        Isla del Tesoro         | Capitulo VIII La taberna de ''El Vigía''
   8882    |     M      |   train    |   18.308   |   10139    |        Isla del Tesoro         |     Capítulo XXI El ataque    
   8882    |     M      |   train    |   26.962   |   10139    |        Isla del Tesoro         |   Capítulo XXVI Israel Hands  
   8882    |     M      |   train    |   20.105   |   10139    |        Isla del Tesoro         | Capitulo XII Consejo de guerra
   8882    |     M      |   train    |   17.363   |   10139    |        Isla del Tesoro         | Capitulo VII Salgo para Bristol
   8882    |     M      |   train    |   15.149   |   10139    |        Isla del Tesoro         | Capitulo XVI El Doctor prosigue la narración y refiere cómo fue abandonado el buque
   8882    |     M      |   train    |   17.540   |   10139    |        Isla del Tesoro         |  Capitulo IX Pólvora y armas  
   8882    |     M      |   train    |   18.255   |   10139    |        Isla del Tesoro         |  Capítulo III El disco negro  
   8882    |     M      |   train    |   19.476   |   10139    |        Isla del Tesoro         |      Capitulo X El viaje      
   8882    |     M      |   train    |   18.195   |   10139    |        Isla del Tesoro         | Capitulo II ''Black Dog'' aparece y desaparece
   8882    |     M      |   train    |   13.950   |   10139    |        Isla del Tesoro         | Capitulo XVIII En que cuenta el Doctor cómo concluyó el primer día de pelea
   8882    |     M      |   train    |   22.862   |   10139    |        Isla del Tesoro         | Capítulo XV El hombre de la isla
   8882    |     M      |   train    |   19.888   |   10139    |        Isla del Tesoro         | Capítulo XXVII Piezas de a ocho
   8882    |     M      |   train    |   26.403   |   10139    |        Isla del Tesoro         | Capitulo XI Lo que oí desde el barril
   8882    |     M      |   train    |   14.406   |   10139    |        Isla del Tesoro         | Capítulo XVII El Doctor, continuando la narración, describe el ultimo viaje del serení
   8882    |     M      |   train    |   17.607   |   10139    |        Isla del Tesoro         | Capitulo VI Los papeles del Capitán
   8882    |     M      |   train    |   15.045   |   10139    |        Isla del Tesoro         | Capítulo XXIII El reflujo corre
   8882    |     M      |   train    |   22.355   |   10139    |        Isla del Tesoro         |   Capítulo XXX Bajo palabra   
